,Partido,Localidad,,,CABLEMODEM,DIALUP,,,WIRELESS,TELEFONIAFIJA,,,link,Latitud,
SANTA FE,,,427,SI,,,--,--,,--,--,,82084050,"-33,0919516648506","-60,6993159324653"
SANTA FE,,Arminda,288,--,,--,--,--,,SI,,--,82084060,"-33,2658615254501",
,Rosario,Arroyo Seco,,,SI,--,,,SI,SI,SI,SI,,"-33,1560225761175","-60,5101308080247"
,Rosario,Carmen del Sauce,531,,--,--,SI,,SI,,--,SI,,,"-60,8118679160701"
,Rosario,Coronel Bogado,2204,,--,--,SI,,--,SI,,,82084090,"-33,3175115859048",
SANTA FE,Rosario,Coronel Rodolfo S. Domínguez,,--,SI,--,,--,--,SI,SI,,82084100,"-33,1854760061025","-60,7228633313771"
SANTA FE,,,174,--,,,SI,--,,,--,--,82084110,,"-60,7649740219949"
SANTA FE,Rosario,,155,SI,--,,SI,--,--,SI,--,--,,"-33,1288733975401","-60,7130394393533"
SANTA FE,San Justo,Pedro Gómez Cello,,--,--,--,,--,SI,SI,,,82112100,"-30,0384743425904",
,San Justo,Ramayón,,,--,--,,,SI,SI,,--,82112110,"-30,6758153384973",
,San Justo,San Bernardo,27,,--,--,,,SI,,--,--,82112120,,"-60,5751464890853"
SANTA FE,San Justo,San Justo,,SI,SI,--,,--,SI,SI,SI,SI,,"-30,7908665162845","-60,5940368250334"
SANTA FE,,San Martín Norte,563,--,,--,--,--,,SI,,,82112140,"-30,3493004076432",
SANTA FE,San Justo,,360,--,--,,--,--,SI,--,--,,82112150,"-30,4486399849806","-60,430070013139"
SANTA FE,,,997,SI,,,SI,--,,SI,--,SI,,"-30,1436425790617","-60,3373530550458"
SANTA FE,,Videla,2027,SI,,--,SI,--,,,--,SI,,,"-60,6564412400796"
,San Lorenzo,Aldao,,,SI,--,,,--,SI,--,,82119010,"-32,7069853236032","-60,8179518202362"
,San Lorenzo,Capitán Bermúdez,29218,,SI,--,SI,,--,SI,,SI,82119020,"-32,8282349449349",
SANTA FE,,Carcarañá,16277,SI,,--,--,--,,,SI,SI,82119030,,"-61,1523502197425"
SANTIAGO DEL ESTERO,Copo,,161,--,--,,--,--,SI,,--,SI,,,"-62,5920554191228"
SANTIAGO DEL ESTERO,Copo,Monte Quemado,,--,--,--,,SI,--,SI,,SI,86056050,"-25,8042379417741",
,Copo,Nueva Esperanza,72,,--,--,--,,SI,--,,,86056060,"-26,0338455788063",
SANTIAGO DEL ESTERO,Copo,,5273,--,--,,SI,SI,--,,--,SI,86056070,,"-61,8178937032973"
SANTIAGO DEL ESTERO,,San José del Boquerón,38,--,,,--,--,,,--,--,,"-26,1156583469237","-63,5880042931729"
SANTIAGO DEL ESTERO,,Urutaú,137,--,,--,--,--,,--,--,,86056090,"-25,7123770498498","-63,0412753199535"
SANTIAGO DEL ESTERO,,,964,--,,,SI,--,,SI,,SI,86070010,"-27,28467570616",
,Figueroa,Caspi Corral,251,,--,--,--,,SI,,--,--,,,"-63,5489561890655"
,Figueroa,Colonia San Juan,,,--,--,,,--,,--,--,86070030,,"-63,2578257204887"
SANTIAGO DEL ESTERO,,,104,--,--,,--,--,--,--,,--,86070040,"-27,5825457334289",
SANTIAGO DEL ESTERO,,Kilómetro 30,243,--,,--,--,--,,--,--,,86070050,"-27,3700023759014","-63,5244894191242"
SANTIAGO DEL ESTERO,,,1696,--,,,SI,SI,,,--,SI,86070060,,"-63,7176686023268"
SANTIAGO DEL ESTERO,Figueroa,,517,--,--,,SI,--,SI,,--,--,,,"-63,4356002677335"
,Figueroa,Minerva,,,--,--,,,--,--,,--,86070080,"-27,539157866442",
SANTIAGO DEL ESTERO,Figueroa,Vaca Huañuna,,--,--,--,,--,SI,--,--,,86070090,"-27,4744926059622","-63,4699375343126"
SANTIAGO DEL ESTERO,Figueroa,Villa Figueroa,,--,--,--,,,SI,,--,--,,"-27,7191635118164","-63,4627541092023"
,Burruyacú,Villa Burruyacú,2168,,--,--,SI,,SI,,--,SI,90007100,,"-64,7419938212453"
TUCUMAN,Burruyacú,,200,--,,,--,--,--,SI,,,90007110,"-26,5064025936102",
TUCUMAN,,San Miguel de Tucumán (Est. Tucumán),548866,SI,,SI,SI,SI,,SI,,SI,90084010,"-26,82900979033",
,Chicligasta,Alpachiri,1838,,--,--,--,,--,,SI,SI,90021010,,"-65,7560706396094"
,Chicligasta,Alto Verde,,,--,--,,,--,SI,--,SI,,"-27,3793992485609","-65,6079258666538"
TUCUMAN,Chicligasta,,2072,SI,--,,--,--,--,SI,,--,90021030,"-27,3069484835773",
TUCUMAN,,,49782,SI,,,SI,--,,SI,SI,,90021050,"-27,3421785890325","-65,598557597657"
TUCUMAN,Chicligasta,Iltico,,--,--,--,,--,--,,--,SI,,,"-65,643"
,Chicligasta,La Trinidad,,,--,--,,,--,SI,SI,SI,,"-27,413472537684","-65,5152314804134"
,Chicligasta,Medina,1549,,--,--,--,,--,--,--,,90021080,"-27,418836093134","-65,5333450199588"
,Chicligasta,San Roque,,,--,--,,--,--,--,,,90021040,"-27,3293616351221",
TUCUMAN,,Alderetes,41947,--,,--,SI,--,,SI,SI,SI,,"-26,8220641277209","-65,1385924038502"
TUCUMAN,Cruz Alta,,63226,--,SI,,SI,--,,,SI,SI,90014020,,"-65,1632837939025"
,Cruz Alta,Barrio Aeropuerto,,,--,--,,,--,--,,SI,90014090,"-26,8489",
,Cruz Alta,Colombres,5086,,--,--,--,,--,SI,,,90014040,"-26,8835749144059",
TUCUMAN,Cruz Alta,Colonia Mayo - Barrio La Milagrosa,,--,--,--,,--,--,--,--,--,,"-26,8339561201266","-64,9893799370396"
,Cruz Alta,Delfín Gallo,,,--,--,,,SI,,--,--,90014060,,"-65,0915199952372"
TUCUMAN,Cruz Alta,,613,--,--,,--,--,SI,SI,SI,,90014070,"-26,9921019189366","-65,1812450251063"
TUCUMAN,,,0,--,,,--,--,,--,,,90014090,"-26,8184460052552",
TUCUMAN,,El Paraiso,0,--,,--,--,--,,,SI,SI,,,"-65,0955588658241"
TUCUMAN,Cruz Alta,,0,--,--,,--,--,,--,SI,SI,,"-26,8440192084768","-65,0924758564779"
,Cruz Alta,Ex Ingenio Los Ralos,0,,--,--,--,,--,--,,--,90014070,"-26,8770998455409",
,Cruz Alta,Ex Ingenio Lujan,,--,--,--,,--,--,--,--,,90014090,"-26,8541670602329","-65,0915199952372"
TUCUMAN,,,0,--,,,--,--,,,SI,SI,,,"-65,0802671019889"
TUCUMAN,,La Florida,5959,SI,,--,--,SI,,,SI,SI,90014080,,"-65,0943210848409"
,Cruz Alta,Las Cejas,,,--,--,,,--,--,,,90014090,"-26,8878173829847",
TUCUMAN,Cruz Alta,Lastenia,,--,--,--,,--,--,--,,SI,90014090,"-26,8621611908602",
TUCUMAN,,,0,--,,,--,--,,,SI,SI,,,"-65,1293137289629"
TUCUMAN,Cruz Alta,,0,--,--,,--,--,--,,SI,SI,90014090,,"-65,1258766860824"
TUCUMAN,,,9429,--,,,--,--,SI,SI,,--,90014100,"-26,8770998455409",
TUCUMAN,,Pacará,830,--,,--,--,--,,--,--,,90014110,"-26,8992133086383","-65,1492861893342"
TUCUMAN,Cruz Alta,Ranchillos,,--,--,--,,--,SI,,SI,SI,90014120,,"-65,0483776049689"
,Cruz Alta,San Andrés,3153,,--,--,SI,,--,,--,SI,,,"-65,1963401762121"
TUCUMAN,,Villa Recaste,0,--,,--,--,--,,--,SI,,90014090,"-26,8868084047256","-65,0074356034814"
TUCUMAN,,,0,--,,,--,--,,--,,--,90014090,"-26,8914692726412",
TUCUMAN,Famaillá,,1141,--,--,,--,--,--,,--,SI,,,"-65,4291435588925"
TUCUMAN,,,890,--,,--,--,--,,,--,SI,90028020,,"-65,3464718463273"
TUCUMAN,Famaillá,Ex Ingenio Nueva Baviera,,--,--,--,,--,--,--,SI,,90028020,"-27,0697371751242","-65,3999011552298"
,Famaillá,Famaillá,22924,,--,--,SI,,SI,SI,,SI,90028030,"-27,0450456348935",
,Famaillá,Ingenio Fronterita,13,,--,--,--,,--,,--,--,90028040,,"-65,455616412105"
,Graneros,Graneros,,,--,--,,,SI,,SI,SI,,,"-65,4389216777288"
TUCUMAN,,Lamadrid,2841,--,,--,SI,SI,,SI,,SI,90035020,"-27,6466143101473",
TUCUMAN,,,1241,--,,,--,--,,SI,,,90035030,"-27,8350683836867",
TUCUMAN,Juan Bautista Alberdi,Juan Bautista Alberdi,,SI,--,--,,,--,SI,SI,SI,,"-27,5859774039585","-65,620843677012"
,Juan Bautista Alberdi,Villa Belgrano,1205,,--,--,--,,--,,--,--,90042020,,"-65,614612836175"
TUCUMAN,,La Cocha,6578,SI,,--,--,SI,,SI,SI,,90049010,"-27,7730048354523","-65,5864568354594"
TUCUMAN,La Cocha,,123,--,--,,--,SI,SI,--,,--,90049020,"-27,7315967012344",
,Leales,Bella Vista,,,--,--,SI,,SI,SI,SI,SI,,"-27,0310036528782","-65,3086376425668"
TUCUMAN,Leales,Estación Aráoz,,--,--,--,,--,--,,SI,SI,,,"-64,9218123993231"
,Leales,Los Puestos,,,--,--,,,--,--,,,90056030,"-27,2808998221653",
,Leales,Manuel García Fernández,1061,,--,--,--,,--,SI,--,,90056040,"-26,9557033913379","-65,272073063004"
TUCUMAN,,,668,--,,,--,SI,,,--,SI,90056050,,"-65,2181035623283"
TUCUMAN,,Río Colorado,1077,--,,--,--,--,,--,SI,SI,,"-27,1496800217878","-65,3560513582608"
,Leales,Santa Rosa de Leales,1934,,--,--,--,,SI,SI,,,90056070,"-27,1378928767222",
TUCUMAN,Leales,Villa de Leales,,,--,--,,--,SI,SI,,SI,90056090,"-27,1942605268211",
,Leales,Villa Fiad - Ingenio Leales,2791,,--,--,--,,SI,,SI,SI,,,"-65,2354487523003"
,Lules,Barrio Araujo,,,--,--,,,--,--,SI,SI,,"-26,8418175731977","-65,2753559359172"
TUCUMAN,,Barrio San Felipe,2157,--,,--,--,--,,--,,SI,90063010,"-26,8749835532106",
TUCUMAN,,,14582,--,,,SI,--,,SI,SI,,90063020,"-26,8445604430497","-65,2856690422125"
TUCUMAN,Lules,,9620,SI,--,,SI,--,SI,SI,SI,SI,,"-26,8739965593381","-65,3103499893471"
TUCUMAN,,La Reducción,5029,SI,,--,--,--,,,SI,SI,,,"-65,3514727517897"
TUCUMAN,Río Chico,Santa Ana,,SI,--,--,,--,--,SI,--,,90077040,"-27,4722321360222","-65,6841675424243"
,Río Chico,Villa Clodomiro Hileret,,,--,--,,,--,--,,,90077050,"-27,4739466117854",
TUCUMAN,,,399,--,,,--,--,,,SI,SI,90091010,,"-65,2878399932446"
TUCUMAN,Simoca,,880,--,--,,--,--,SI,,SI,SI,,,"-65,2776930194393"
,Simoca,Nueva Trinidad,,,--,--,,,SI,--,,--,90091030,"-27,4845113363814",
,Simoca,Santa Cruz,187,,--,--,--,,--,--,--,,90091040,"-27,3865618797716",
TUCUMAN,,,8351,--,,,--,--,,,SI,SI,90091050,,"-65,3552894738936"
TUCUMAN,,Villa Chicligasta,291,--,,--,--,--,,,--,--,,,"-65,163544429074"
TUCUMAN,,Amaicha del Valle,1327,--,,,SI,SI,,SI,,,90098010,"-26,5936376610691",
TUCUMAN,Tafí del Valle,,632,--,--,,--,--,SI,SI,,SI,90098020,"-26,3605355069816",
,Tafí del Valle,El Mollar,1906,,--,--,--,,SI,SI,--,SI,,"-26,9392209221338","-65,7081542446876"
TUCUMAN,Tafí del Valle,Tafí del Valle,,SI,--,--,,SI,SI,,SI,SI,90098040,,"-65,7085573791718"
TUCUMAN,Tafí Viejo,,620,--,--,,--,--,--,--,,,90105010,"-26,7081441784822",
TUCUMAN,,,528,SI,,,--,--,,SI,--,,90105020,"-26,7465814588322","-65,2334174034289"
TUCUMAN,,Barrio Mutual San Martín,1132,SI,,--,--,--,,,SI,SI,90105030,,"-65,2249109374961"
TUCUMAN,,,294,--,,,--,--,,,SI,SI,,,"-65,248427031041"
,Tafí Viejo,Barrio U.T.A. II,1455,,--,--,--,,--,--,,SI,90105050,"-26,756263713385",
,Tafí Viejo,Diagonal Norte - Luz y Fuerza - Los Pocitos - Villa Nueva Italia (6),,,--,--,,,--,SI,,,90105060,"-26,7815251300034","-65,2193041804807"
TUCUMAN,Lules,Lules,,SI,SI,--,,--,SI,SI,SI,SI,,"-26,9239379177434","-65,3364017910576"
,Monteros,Acheral,2683,,--,--,SI,,SI,,SI,SI,90070010,,"-65,4705647177524"
TUCUMAN,Monteros,,513,--,--,,--,--,SI,--,,,90070020,"-27,1895217713073",
TUCUMAN,,Monteros,23274,SI,,,SI,--,,SI,,SI,90070030,"-27,1674766637374",
,Monteros,Pueblo Independencia,,,--,--,,,--,,SI,SI,90070040,,"-65,527417311463"
TUCUMAN,Monteros,Río Seco,,SI,--,--,,--,SI,SI,SI,SI,,"-27,2690482043801","-65,5593459528459"
TUCUMAN,,,5704,SI,,,--,--,,SI,,SI,90070060,"-27,0930813575252",
TUCUMAN,,Sargento Moya,575,--,,--,--,--,,--,--,,90070070,"-27,2278200846423","-65,6598562004025"
,Monteros,Soldado Maldonado,,,--,--,,,--,,--,--,,,"-65,5656822015637"
,Monteros,Teniente Berdina,907,,--,--,--,,SI,--,--,--,,"-27,050034787094","-65,4875831419552"
,Monteros,Villa Quinteros,4240,,--,--,,,SI,SI,SI,,90070100,"-27,2536712257247","-65,5524720047212"
TUCUMAN,Río Chico,Aguilares,,SI,--,--,,--,SI,SI,,,90077010,"-27,4298511184032",
TUCUMAN,,Ingenio Santa Barbara,0,--,,--,--,--,,--,SI,SI,,"-27,4557975105898","-65,6064955796251"
TUCUMAN,Río Chico,,3010,SI,--,,--,--,--,,--,--,,,"-65,695439891394"
TUCUMAN,Río Chico,Río Chico,,--,--,--,,--,--,--,,--,90077030,"-27,4809961150586",
,Tafí Viejo,El Cadillal,,,--,--,,,--,SI,,,90105070,"-26,6325444298094",
,Tafí Viejo,Tafí Viejo,39601,,SI,--,SI,,SI,,SI,SI,,,"-65,2558176904322"
TUCUMAN,Tafí Viejo,Villa Las Flores,,,--,--,,--,--,--,SI,SI,,"-26,7695777143466","-65,233609939011"
TUCUMAN,,Villa Mariano Moreno - El Colmenar,52960,--,,--,SI,--,,SI,,,90105100,"-26,7759821127859",
TUCUMAN,Trancas,,471,--,--,,--,--,,--,SI,,90112010,"-26,4107463918543","-65,3199726179681"
TUCUMAN,Trancas,,3065,--,--,,--,--,SI,SI,SI,SI,,"-26,2357654346434","-65,4938515563214"
TUCUMAN,,,4429,SI,,,--,--,,,SI,SI,,,"-65,285166490246"
TUCUMAN,Yerba Buena,Barrio San José III,,--,--,--,,--,--,--,--,,90119010,"-26,7964431224326","-65,2657159116952"
,Yerba Buena,Cevil Redondo,,,--,--,,,--,--,,SI,90119030,"-26,7789639578912",
TUCUMAN,,Country Jockey Club,0,--,,--,--,--,,,--,--,90119010,,"-65,3079476709365"
TUCUMAN,Yerba Buena,,0,--,--,,--,--,--,,SI,SI,,,"-65,2646764135868"
TUCUMAN,Yerba Buena,Villa Carmela,,SI,--,--,,,SI,SI,,SI,90119020,"-26,7677751896138",
,Yerba Buena,Villa San Javier,0,,--,--,--,,--,--,,,90119010,"-26,7825946807861",
TUCUMAN,,,57392,SI,,,SI,--,--,,SI,SI,90119030,,"-65,3106988268486"
SANTA FE,,San Lorenzo,45958,SI,,--,SI,--,,SI,SI,SI,,"-32,7523069549362","-60,7356209815072"
SANTA FE,,,3694,SI,,,SI,SI,,SI,,,82119140,"-32,6696252682834","-60,7943548240758"
SANTA FE,San Lorenzo,,297,--,--,,--,--,SI,--,,SI,82119150,"-32,6429185717722",
,San Lorenzo,Villa Mugueta,,,SI,--,,,--,,--,SI,,,"-61,0570695285482"
SANTA FE,San Martín,Cañada Rosquín,,--,--,--,,--,--,,SI,SI,82126010,,"-61,6025429947826"
SANTA FE,San Martín,,4971,SI,--,,--,--,--,SI,,SI,82126020,"-32,0526642372536",
SANTA FE,,,729,--,,,--,--,,SI,--,,82126030,"-32,1279976039457","-61,5421282200809"
SANTA FE,,,614,--,,,--,--,SI,,--,SI,,,"-62,0899867120516"
SANTA FE,,Colonia Belgrano,908,--,,--,--,--,,,--,SI,82126050,,"-61,4023835358505"
SANTA FE,San Martín,Crispi,,--,--,--,,,--,SI,,,82126060,"-31,7417252131656","-62,0378765362955"
,San Martín,El Trébol,11086,,SI,--,SI,,SI,SI,,SI,82126070,"-32,2030242455008",
,San Martín,Landeta,,,SI,--,,,--,,SI,SI,82126080,,"-62,0611771301989"
SANTA FE,San Martín,Las Bandurrias,,--,SI,--,,--,--,--,--,SI,,"-32,1991899646564","-61,4927940449511"
SANTA FE,,,872,--,,,--,--,,--,,SI,82126100,"-31,8247278111096",
SANTA FE,San Martín,,1310,SI,SI,,--,SI,--,SI,,,82126110,"-32,3243031135987",
SANTA FE,San Martín,María Susana,,SI,--,--,,--,SI,SI,SI,SI,,"-32,2654856687264","-61,9010253248989"
,San Martín,Piamonte,3336,,SI,--,--,,--,,--,SI,82126130,,"-61,9811202181808"
SANTA FE,,San Jorge,17615,SI,,--,SI,SI,,SI,SI,,82126140,"-31,898003817155","-61,8603287777206"
SANTA FE,San Martín,,2299,SI,SI,,--,--,,SI,,SI,82126150,"-31,8596737471682",
,San Martín,Sastre,5425,,--,--,SI,,SI,SI,SI,SI,,"-31,7695325241636","-61,8294529565696"
,San Martín,Traill,,,--,--,,--,--,,--,--,,,"-61,7024471962412"
SANTA FE,San Martín,Wildermuth (Est. Granadero B. Bustos),,--,--,--,,--,--,--,,,82126180,"-31,9469900287545",
,Vera,Calchaquí,,,--,--,,,SI,SI,SI,,82133010,"-29,8905436040639","-60,285737676357"
SANTA FE,Vera,,518,--,--,,--,SI,SI,,--,SI,82133020,,"-59,9837166450891"
SANTA FE,,,141,--,,,--,SI,,--,--,--,,"-28,7658190432744","-60,0880421430925"
,Vera,Fortín Olmos,,,--,--,,,SI,SI,,,82133040,"-29,0560211845387",
SANTA FE,Vera,Garabato,,--,--,--,,--,SI,SI,,SI,82133050,"-28,9553447407242",
,Vera,Golondrina,,,--,--,,,SI,SI,--,SI,,"-28,5588709585467","-60,0251919319472"
,Vera,Intiyaco,1132,,--,--,--,,SI,,--,SI,82133070,,"-60,0724684333926"
SANTA FE,,,182,--,,,--,--,,--,--,,82133080,"-28,8247510907656","-60,2256036446499"
SANTA FE,,La Gallareta,2189,--,,--,--,--,,SI,,,82133090,"-29,5854889982809",
SANTA FE,,Los Amores,1052,--,,--,--,--,,,--,SI,,,"-59,9786648326772"
SANTA FE,Vera,,3534,--,SI,,--,SI,SI,SI,SI,SI,,"-29,6910879587641","-60,2524652684442"
,Vera,Paraje 29,,,--,--,--,,SI,--,,--,82133120,"-29,1097652045099",
SANTA FE,Vera,Pozo de los Indios,,--,--,--,,SI,SI,--,--,,82133130,"-28,9451306017322","-60,2520035726174"
SANTA FE,Vera,,185,--,--,,--,--,SI,,--,SI,,,"-60,4038564051536"
SANTA FE,,,1599,--,,,--,--,,,--,SI,82133150,,"-59,8468195282736"
,Vera,Toba,266,,--,--,--,,SI,--,,,82133160,"-29,2675884279209",
,Vera,Vera (Est. Gobernador Vera),,,--,--,,,SI,SI,,SI,82133170,"-29,4629204507651",
SANTIAGO DEL ESTERO,,Argentina,64,--,,--,--,--,,--,--,SI,,"-29,534757123817","-62,2668044844868"
SANTIAGO DEL ESTERO,,,1098,SI,,,--,SI,,,SI,SI,86007030,,"-62,3314794611812"
SANTIAGO DEL ESTERO,Aguirre,,4678,--,SI,,--,SI,SI,SI,,SI,86007040,"-29,1396357162399",
SANTIAGO DEL ESTERO,,,6222,--,,--,SI,SI,,SI,,,86014010,"-26,5814190604185","-62,8262003213668"
SANTIAGO DEL ESTERO,Alberdi,Coronel Manuel L. Rico,,--,--,--,,SI,--,,--,--,86014020,,"-61,8096452907377"
,Alberdi,Donadeu,559,,--,--,SI,,--,,--,--,,,"-62,6879637973159"
SANTIAGO DEL ESTERO,,,2777,--,,,SI,SI,,SI,--,,86014040,"-26,6495967935988","-61,7871497439271"
SANTIAGO DEL ESTERO,Alberdi,,313,--,--,,SI,SI,SI,--,,,86014050,"-26,6920881873751",
SANTIAGO DEL ESTERO,,,418,--,,,SI,SI,,,--,SI,86021010,,"-63,9077257443296"
SANTIAGO DEL ESTERO,Atamisqui,,565,--,--,,SI,SI,SI,--,--,--,,,"-63,7041964723455"
,Atamisqui,Villa Atamisqui,3289,,--,--,SI,,SI,SI,,SI,86021030,"-28,5100801277829",
SANTIAGO DEL ESTERO,Avellaneda,Colonia Dora,,SI,SI,--,,SI,SI,SI,,,86028010,"-28,6003169561704",
,Avellaneda,Herrera,,,SI,--,,,--,,SI,SI,,,"-62,9926469968689"
,Banda,Tramo 20,116,,--,--,--,,--,,--,--,86035150,,"-64,0791400566417"
SANTIAGO DEL ESTERO,,,6536,--,,,SI,SI,,SI,SI,,86042010,"-28,8735129458763","-62,169826238046"
SANTIAGO DEL ESTERO,,Cuatro Bocas,115,--,,--,--,SI,,SI,,--,86042020,"-28,8789396191069",
,Belgrano,Fortín Inca,487,,--,--,--,,SI,,--,--,,,"-61,8431626122076"
SANTIAGO DEL ESTERO,Belgrano,Guardia Escolta,,SI,SI,--,,SI,SI,SI,--,SI,,"-28,9703488914731","-62,035706028836"
SANTIAGO DEL ESTERO,Capital,,655,--,--,,--,--,--,--,,,86049010,"-27,7351697774199",
SANTIAGO DEL ESTERO,,El Mojón,85,--,,--,--,SI,,--,--,,86049020,"-28,0035728575011","-64,1447936528647"
SANTIAGO DEL ESTERO,Capital,El Zanjón,,--,--,--,,SI,SI,,--,--,86049030,,"-64,1730797752693"
,Capital,Los Cardozos,165,,--,--,,,SI,--,--,--,,"-27,9481087215396","-64,1435890450184"
,Capital,Maco,550,,--,--,--,,SI,--,SI,,86049050,"-27,847639","-64,2284572"
,Capital,Maquito,,,--,--,,,SI,--,,,86049060,"-27,87170",
SANTIAGO DEL ESTERO,,Morales,204,--,,--,--,--,,--,--,--,,"-27,7097477481356","-64,3236662614394"
SANTIAGO DEL ESTERO,,,84,--,,,--,--,,,--,SI,,,"-64,3395984822365"
,Capital,San Pedro,,,--,--,,--,SI,--,,--,86049090,"-27,9550739860833",
,Capital,Santa María,338,,--,--,--,,SI,--,,,86049100,"-27,9635432986366",
SANTIAGO DEL ESTERO,Avellaneda,Icaño,,,SI,--,,SI,SI,,--,SI,86028030,,"-62,7989820714201"
,Avellaneda,Lugones,1222,,SI,--,--,,--,SI,SI,SI,,"-28,3418852045255","-63,2706691942439"
SANTIAGO DEL ESTERO,Avellaneda,,1412,--,SI,,--,--,,--,,,86028050,"-28,8151294886589",
SANTIAGO DEL ESTERO,,Villa Mailín,1061,--,,--,--,SI,,--,--,,86028060,"-28,4893268442445","-63,2031078475841"
SANTIAGO DEL ESTERO,,,138,--,,,--,--,,--,--,--,,"-27,2931330160432","-64,379064524629"
SANTIAGO DEL ESTERO,Banda,,210,--,--,,--,--,--,,--,--,,,"-64,2241078600325"
,Banda,Ardiles,,,--,--,,,--,--,--,,86035030,"-27,445260675861","-64,4578107564898"
SANTIAGO DEL ESTERO,Banda,Cañada Escobar,,--,--,--,,--,--,--,,,86035040,"-27,7354009098552",
SANTIAGO DEL ESTERO,Banda,,382,--,--,,SI,--,--,,--,SI,86035050,,"-64,3963586561163"
SANTIAGO DEL ESTERO,,Clodomira,9661,--,,--,SI,SI,,,SI,SI,,,"-64,0826491614352"
,Banda,Huyamampa,130,,--,--,--,,--,--,,--,86035070,"-27,4118141271732",
SANTIAGO DEL ESTERO,Banda,La Aurora,,--,--,--,,,--,--,,,86035080,"-27,5190033687316",
SANTIAGO DEL ESTERO,,La Banda,106441,SI,,--,SI,SI,,,--,SI,86035090,,"-64,1861422955531"
SANTIAGO DEL ESTERO,Banda,,1152,--,,,--,--,--,--,SI,SI,,,"-64,2457984728141"
SANTIAGO DEL ESTERO,Banda,,1065,--,--,,--,SI,SI,--,--,,86035110,"-27,669552","-64,3737159"
SANTIAGO DEL ESTERO,,,224,--,,,--,--,,--,,--,86035120,"-27,6523150539022",
SANTIAGO DEL ESTERO,Banda,Simbolar,,--,--,--,,SI,--,,--,SI,,,"-64,1924887"
,Banda,Tramo 16,,,--,--,,,--,,--,--,86035140,,"-64,1316855402386"
SANTIAGO DEL ESTERO,,,23286,SI,,--,SI,SI,,SI,,SI,86077010,"-28,4604679974535",
SANTIAGO DEL ESTERO,General Taboada,,371,--,--,,--,--,SI,--,--,,86077020,"-28,741220514431","-62,3821980617677"
SANTIAGO DEL ESTERO,,,1060,--,,,SI,SI,,,--,SI,86077030,,"-62,5238361883097"
SANTIAGO DEL ESTERO,,La Nena,91,--,,--,--,--,,,--,--,,,"-61,7418831319049"
,General Taboada,Los Juríes,,,SI,--,,,--,SI,,SI,86077050,"-28,4484755911851",
,General Taboada,Tomás Young,455,,SI,--,--,,SI,--,--,,86077060,"-28,6023467596818","-62,1835158055122"
,Guasayán,Lavalle,1554,,--,--,--,,SI,SI,SI,SI,,,"-65,0404186745627"
SANTIAGO DEL ESTERO,Guasayán,San Pedro,,--,--,--,,--,SI,,SI,SI,86084020,,"-65,1016629117011"
SANTIAGO DEL ESTERO,,,54,--,,,--,SI,,--,,,86091005,"-26,803881840061",
SANTIAGO DEL ESTERO,Jiménez,,1466,--,--,,--,SI,--,--,,SI,86091010,"-26,7503821112546",
SANTIAGO DEL ESTERO,Jiménez,El Charco,,--,--,--,,--,--,,--,SI,,,"-64,6538973422057"
,Jiménez,El Rincón,,,--,--,,,--,--,--,--,,"-26,752760114817","-64,4384727520069"
SANTIAGO DEL ESTERO,,Gramilla,409,--,,--,SI,--,,--,,,86091040,"-27,296511056423",
SANTIAGO DEL ESTERO,,,87,--,,,--,--,,--,--,,86091050,"-27,0297711564072","-64,6107274402212"
,Jiménez,Isca Yacu Semaul,65,,--,--,--,,--,,--,--,,,"-64,6122133001112"
,Moreno,Patay,,,--,--,,,--,--,--,--,,"-26,8429204209178","-62,9328911113827"
SANTIAGO DEL ESTERO,Jiménez,Pozo Hondo,,--,--,--,,SI,--,SI,--,,86091070,"-27,1937927074288","-64,4393140879384"
,Jiménez,San Pedro,264,,--,--,,,--,--,,,86091080,"-26,7675027140054",
SANTIAGO DEL ESTERO,Juan F. Ibarra,,735,--,--,,--,SI,--,--,--,SI,,"-27,9174428714196","-62,1171378956456"
SANTIAGO DEL ESTERO,,El Cuadrado,143,--,,--,--,SI,,,--,--,86098020,,"-61,720781100109"
,Juan F. Ibarra,Matará,,,--,--,,,SI,SI,,SI,86098030,"-28,1124229765898",
SANTIAGO DEL ESTERO,Juan F. Ibarra,Suncho Corral,,SI,--,--,,SI,SI,SI,,,86098040,"-27,9425197490166",
,Juan F. Ibarra,Vilelas,1723,,--,--,--,,SI,--,--,SI,,"-27,9532653685769","-62,5456888179709"
,Juan F. Ibarra,Yuchán,,,--,--,,,--,,--,SI,86098060,,"-62,9003451010272"
SANTIAGO DEL ESTERO,,Villa San Martín (Est. Loreto),10996,--,,--,--,SI,,--,SI,,86105010,"-28,3266654290546","-64,105600188844"
SANTIAGO DEL ESTERO,,,510,--,,,--,SI,,--,,,86112010,"-29,4117845166099",
SANTIAGO DEL ESTERO,Moreno,,249,--,--,,--,SI,--,,--,--,,,"-62,3796577004907"
SANTIAGO DEL ESTERO,,Alhuampa,471,--,,--,SI,SI,,--,--,--,,"-27,1324238744579","-62,5491681163406"
SANTIAGO DEL ESTERO,Moreno,Hasse,,--,--,--,,--,--,--,,,86119030,"-27,0717441766102",
,Moreno,Hernán Mejía Miraval,,,--,--,,,--,--,--,,86119040,"-27,1752881258606","-62,4257292710739"
SANTIAGO DEL ESTERO,,,1624,--,,,--,SI,,,--,SI,,,"-62,9188088964109"
