,Partido,Localidad,ADSL,,DIALUP,FIBRAOPTICA,4G,,TELEFONIAFIJA,,SATELITAL
SANTA FE,San Cristóbal,Colonia Rosa,,,--,--,,--,--,SI,--
SANTA FE,,Constanza,--,--,,--,--,--,,,--
SANTA FE,San Cristóbal,,--,--,--,,--,--,,SI,--
,San Cristóbal,Hersilia,,,--,--,,,SI,SI,
,San Cristóbal,Huanqueros,--,,--,--,SI,,--,SI,
SANTA FE,San Cristóbal,La Cabral,,--,--,--,,--,SI,,SI
,San Cristóbal,La Lucila,,,--,--,,,--,--,--
SANTA FE,San Cristóbal,,--,SI,--,,--,--,SI,SI,
SANTA FE,,,--,--,,,--,--,,--,--
SANTA FE,,Las Palmeras,--,--,,--,SI,--,,SI,--
SANTA FE,San Cristóbal,,SI,SI,--,,SI,SI,SI,,--
,San Cristóbal,Monigotes,--,,--,SI,SI,,SI,SI,--
,San Cristóbal,Ñanducita,,--,--,--,,--,--,SI,
SANTA FE,,,SI,--,,,SI,SI,,,--
SANTA FE,,San Cristóbal,SI,SI,,SI,SI,SI,,,SI
,San Cristóbal,San Guillermo,,,--,SI,,,SI,SI,
SANTA FE,San Cristóbal,Santurce,,--,--,--,,--,--,SI,
SANTA FE,,,--,--,,,SI,--,,,--
SANTA FE,San Cristóbal,,--,--,--,,SI,SI,SI,--,--
SANTA FE,,,--,--,--,,SI,SI,--,SI,--
SANTA FE,,Villa Trinidad,--,--,,--,SI,SI,,--,
SANTA FE,San Javier,Alejandra,,--,--,--,,--,SI,,SI
,San Javier,Cacique Ariacaiquín,--,,--,--,SI,,SI,,--
SANTA FE,,Colonia Durán,--,--,,--,--,--,,--,
SANTA FE,,,--,--,,,SI,--,,SI,--
SANTA FE,San Javier,,--,SI,--,,SI,SI,SI,,--
SANTA FE,,,--,SI,,SI,SI,SI,,,--
SANTA FE,San Jerónimo,Arocena,,SI,--,--,,SI,--,--,
,San Jerónimo,Balneario Monje,--,,--,--,--,,--,--,--
,San Jerónimo,Barrancas,SI,,--,--,SI,,SI,SI,--
,San Jerónimo,Barrio Caima,,,--,--,,,--,,--
SANTA FE,,Barrio El Pacaá - Barrio Comipini,--,--,,--,--,--,,--,
SANTA FE,,,--,--,,,SI,SI,,--,
SANTA FE,San Jerónimo,Casalegno,,--,--,--,,,SI,,--
,San Jerónimo,Centeno,SI,,--,--,SI,,SI,--,--
SANTA FE,,Coronda,SI,SI,,SI,SI,SI,,SI,
SANTA FE,San Jerónimo,,SI,--,--,,SI,SI,SI,SI,--
,San Jerónimo,Díaz,,,--,SI,,,SI,,--
SANTA FE,San Jerónimo,Gaboto,,--,--,--,,SI,SI,SI,--
,San Jerónimo,Gálvez,,,--,SI,,,SI,SI,SI
,San Jerónimo,Gessler,SI,,--,SI,SI,,SI,SI,
SANTA FE,,,--,SI,,,SI,--,,SI,--
SANTA FE,,Larrechea,--,--,,--,SI,--,,,--
,San Jerónimo,Loma Alta,SI,,--,SI,--,,SI,--,
,San Jerónimo,López (Est. San Martín de Tours),,,--,--,,--,SI,--,
,San Jerónimo,Maciel,SI,,--,--,SI,,SI,SI,--
,San Jerónimo,Monje,,,--,SI,,,SI,,--
SANTA FE,,Puerto Aragón,--,--,,--,--,--,,--,--
SANTA FE,,,--,--,,,SI,--,,--,
SANTA FE,San Jerónimo,,SI,SI,--,,--,--,SI,,--
SANTA FE,,San Genaro,SI,--,,SI,SI,SI,,SI,--
SANTA FE,San Jerónimo,San Genaro Norte,,SI,--,SI,,--,SI,--,
,San Justo,Angeloni,--,,--,--,,,--,SI,--
SANTA FE,,,--,--,,,--,--,,,--
SANTA FE,San Justo,,--,--,--,,SI,--,--,,--
,San Justo,Esther,,,--,--,,,--,SI,
,San Justo,Gobernador Crespo,SI,,--,--,SI,,SI,SI,
SANTA FE,,,SI,--,,,SI,--,,,--
SANTA FE,,La Penca y Caraguatá,--,--,,--,--,--,,,--
SANTA FE,,Marcelino Escalada,SI,--,,,SI,SI,,SI,
SANTA FE,San Justo,,--,--,--,,--,--,SI,SI,
,Río Grande,Río Grande,SI,,SI,SI,SI,,SI,,SI
TIERRA DEL FUEGO,Río Grande,Tolhuin,,--,--,--,,SI,SI,SI,SI
TIERRA DEL FUEGO,Ushuaia,,--,--,--,,SI,SI,--,--,SI
TIERRA DEL FUEGO,,,SI,SI,,,SI,SI,,SI,
TUCUMAN,,7 de Abril,--,--,,--,--,--,,,SI
TUCUMAN,,,--,--,,,SI,--,,,--
,Burruyacú,El Chañar,--,,--,--,SI,,SI,--,
,Burruyacú,El Naranjo,,,--,--,,,--,--,
TUCUMAN,Burruyacú,Garmendia,,--,--,--,,--,SI,,--
,Burruyacú,La Ramada,--,,--,--,SI,,SI,--,--
TUCUMAN,Burruyacú,,--,--,--,,SI,SI,--,--,
TUCUMAN,,,--,--,,,SI,SI,,SI,
,Burruyacú,Villa Benjamín Aráoz,,,--,--,,,SI,--,--
SAN LUIS,La Capital,Los Algarrobos Blancos,,--,--,--,,SI,--,,--
SAN LUIS,,,--,--,,,--,--,,--,--
SAN LUIS,,Potrero de los Funes,--,--,,--,SI,SI,,SI,
,La Capital,Pozo Del Carril,,,--,--,,,--,--,--
,La Capital,Salinas del Bebedero,--,,--,--,--,,SI,,--
,La Capital,San Jerónimo,,,--,--,,,--,SI,
SAN LUIS,La Capital,San Luis,,SI,SI,SI,,SI,SI,SI,SI
SAN LUIS,,San Roque,--,--,,--,SI,SI,,,--
SAN LUIS,La Capital,,--,--,--,,--,--,--,--,--
SAN LUIS,La Capital,Varela,,--,--,--,,--,--,SI,
,La Capital,Zanjitas,,,--,--,,,--,SI,
,Libertador Grl. San Martín,Barranca Alta,--,,--,--,--,,--,--,--
SAN LUIS,Libertador Grl. San Martín,Cabeza De Novillo,,,--,--,,--,--,,--
SAN LUIS,,Casa De Los Tigres,--,--,,--,--,--,,--,--
SAN LUIS,Libertador Grl. San Martín,,--,--,--,,--,--,,--,
SAN LUIS,Libertador Grl. San Martín,,--,--,--,,--,--,--,,--
SAN LUIS,,,--,--,,,--,--,,--,--
SAN LUIS,Libertador Grl. San Martín,El Puesto,,--,--,--,,--,--,SI,
,Libertador Grl. San Martín,La Cocha,,,--,--,,,--,--,--
SAN LUIS,,La Ramada,--,--,,--,--,--,,,--
SAN LUIS,Libertador Grl. San Martín,,--,--,--,,--,--,--,,--
SAN LUIS,Libertador Grl. San Martín,La Vertiente,,--,--,--,,,--,SI,
,Libertador Grl. San Martín,Las Aguadas,--,,--,--,--,,--,SI,
SAN LUIS,Libertador Grl. San Martín,,--,--,,,--,--,SI,SI,--
SAN LUIS,,Planta De Sandia,--,--,,--,--,--,,,--
SAN LUIS,,,--,--,,,--,--,,SI,
SAN LUIS,Libertador Grl. San Martín,,--,--,--,,--,--,--,--,
,Libertador Grl. San Martín,Rincon Del Carmen,,,--,--,,,--,,--
SAN LUIS,Libertador Grl. San Martín,San Fernando,,--,--,--,,--,--,,--
SAN LUIS,Libertador Grl. San Martín,,--,--,--,,--,--,--,--,--
SAN LUIS,,,SI,--,,SI,--,--,,SI,
SAN LUIS,,,--,--,--,,--,--,--,,--
SAN LUIS,,Tala Verde,--,--,,--,--,--,,,--
SAN LUIS,Libertador Grl. San Martín,Villa de Praga,,--,--,--,,--,SI,SI,
,Corpen Aike,Comandante Luis Piedrabuena,SI,,SI,--,SI,,SI,SI,SI
,Corpen Aike,Puerto Santa Cruz,,,SI,SI,,,SI,--,SI
SANTA CRUZ,Deseado,Caleta Olivia,,SI,--,SI,,SI,--,,SI
SANTA CRUZ,,,--,--,,,--,SI,,SI,
SANTA CRUZ,Deseado,,--,--,--,,SI,SI,--,--,
SANTA CRUZ,Deseado,Jaramillo,,--,--,--,,--,SI,,SI
,Deseado,Koluel Kaike,--,,--,--,SI,,--,--,--
SANTA CRUZ,,Las Heras,--,--,,SI,SI,SI,,SI,
SANTA CRUZ,Deseado,,--,--,--,,SI,SI,--,SI,SI
,Deseado,Puerto Deseado,SI,,SI,--,SI,,SI,,SI
,Deseado,Tellier,,--,--,--,,--,--,--,SI
SANTA CRUZ,Güer Aike,28 de Noviembre,,--,--,SI,,SI,SI,SI,SI
,Güer Aike,El Turbio (Est. Gobernador Mayer),,,--,--,,,--,--,
SANTA CRUZ,Güer Aike,,--,--,--,,SI,--,--,--,--
SANTA CRUZ,,,--,--,,,--,SI,,,SI
,Güer Aike,Río Gallegos,--,,SI,SI,,,SI,--,
SANTA CRUZ,Güer Aike,Rospentek,,--,--,--,,--,SI,--,
,Güer Aike,Yacimientos Río Turbio,,,--,--,,,SI,,SI
,Lago Argentino,El Calafate,SI,,--,SI,SI,,SI,SI,SI
SANTA CRUZ,,,--,--,,,--,--,,SI,
SANTA CRUZ,,Tres Lagos,--,--,,--,--,--,,--,SI
SANTA CRUZ,,Los Antiguos,--,--,,--,SI,--,,SI,SI
SANTA CRUZ,Lago Buenos Aires,,--,SI,SI,,SI,SI,SI,,SI
,Magallanes,Puerto San Julián,,,SI,--,,,SI,SI,SI
SANTA CRUZ,Río Chico,Bajo Caracoles,,--,--,--,,--,SI,--,
SANTA CRUZ,Río Chico,,--,--,--,,--,--,SI,,SI
SANTA CRUZ,,,--,--,,,--,--,,,--
,9 de Julio,Campo Garay,--,,--,--,--,,--,--,
,9 de Julio,Esteban Rams,,,--,--,,,SI,SI,
SANTA FE,,Gato Colorado,--,--,,--,SI,--,,,SI
SANTA FE,,,--,--,,,SI,--,,SI,SI
SANTA FE,9 de Julio,,--,--,--,,--,--,--,--,--
SANTA FE,,,SI,--,,,SI,SI,,SI,
SANTA FE,9 de Julio,Montefiore,,--,--,--,,--,SI,,SI
,9 de Julio,Pozo Borrado,--,,--,--,SI,,SI,,--
SANTA FE,,,--,--,,,--,--,,SI,
SANTA FE,9 de Julio,,--,--,--,,SI,--,SI,SI,SI
SANTA FE,,Tostado,SI,SI,,,SI,SI,,,SI
SANTA FE,9 de Julio,,--,--,--,,SI,SI,SI,,SI
,Belgrano,Armstrong,SI,,--,SI,SI,,SI,SI,
SANTA FE,Belgrano,Bouquet,,--,--,--,,--,SI,SI,
,Belgrano,Las Parejas,,,--,SI,,,SI,,--
,Belgrano,Las Rosas,SI,,--,SI,SI,,SI,,--
SANTA FE,,,SI,--,,,SI,--,,SI,
SANTA FE,,Tortugas,SI,--,,--,SI,SI,,--,SI
,Caseros,Arequito,SI,,--,--,SI,,SI,--,--
SANTA FE,Caseros,Arteaga,,SI,--,--,,SI,SI,,--
SANTA FE,Caseros,,--,--,--,,SI,SI,SI,SI,--
SANTA FE,,Bigand,SI,SI,,--,SI,SI,,--,
SANTA FE,Caseros,Casilda,,SI,--,SI,,SI,SI,SI,--
,Caseros,Chabás,SI,,--,SI,,,SI,,--
,Caseros,Chañar Ladeado,SI,,--,SI,SI,,SI,--,
,Castellanos,Bauer y Sigel,,,--,--,,,SI,SI,--
SANTA FE,,Bella Italia,SI,SI,,SI,SI,SI,,,--
SANTA FE,,,--,SI,,,--,--,,SI,--
,Castellanos,Colonia Bicha,,--,--,SI,,--,--,--,
,Castellanos,Colonia Cello,--,,--,--,SI,,SI,SI,
,Castellanos,Colonia Margarita,--,,--,--,--,,SI,,--
,Castellanos,Colonia Raquel,,,--,SI,,,SI,SI,--
SANTA FE,,Coronel Fraga,--,--,,--,--,--,,SI,
SANTA FE,,,--,--,,,SI,--,,--,--
SANTA FE,Castellanos,,--,SI,--,,SI,--,SI,--,--
SANTA FE,,,--,SI,,,SI,--,,,--
SANTA FE,Castellanos,Estacion Presidente Roca,,--,--,--,,--,--,--,--
,Castellanos,Estación Saguier,--,,--,--,--,,--,SI,
SANTA FE,,,SI,--,,,SI,--,,,--
SANTA FE,Castellanos,,--,--,--,,--,--,--,,--
,Castellanos,Frontera,,,--,--,,,--,SI,
,Castellanos,Garibaldi,--,,--,--,--,,SI,--,
SANTA FE,,,--,--,,,SI,--,,,--
SAN LUIS,,Villa Mercedes,SI,SI,,SI,SI,SI,,,--
SAN LUIS,,Villa Reynolds,--,--,,--,SI,SI,,--,
SAN LUIS,General Pedernera,,--,--,--,,--,--,--,SI,
,Gobernador Dupuy,Anchorena,,,SI,--,,,SI,SI,--
SAN LUIS,Gobernador Dupuy,Arizona,,--,SI,--,,--,SI,,--
SAN LUIS,Gobernador Dupuy,,--,--,--,,--,--,SI,SI,
SAN LUIS,,,--,--,,,--,--,,SI,SI
SAN LUIS,,Buena Esperanza,--,--,,--,SI,--,,,SI
SAN LUIS,Gobernador Dupuy,,--,--,--,,SI,--,SI,SI,SI
,Gobernador Dupuy,Fortuna,--,,SI,--,--,,SI,SI,
,Gobernador Dupuy,La Maroma,,--,--,--,,--,SI,--,
SAN LUIS,Gobernador Dupuy,Los Overos,,--,--,--,,--,--,,--
,Gobernador Dupuy,Martín de Loyola,,,--,--,,,--,,SI
SAN LUIS,Gobernador Dupuy,,--,--,--,,--,--,SI,SI,
SAN LUIS,,,--,--,,,--,--,,SI,
,Gobernador Dupuy,Nueva Galia,--,,--,--,,,SI,,--
SANTA FE,Castellanos,Humberto Primo,,SI,--,SI,,SI,SI,SI,--
SANTA FE,,,SI,SI,--,,SI,SI,SI,SI,
SANTA FE,,Lehmann,SI,SI,,SI,SI,SI,,SI,--
SANTA FE,Castellanos,María Juana,,SI,--,SI,,SI,SI,,--
,Castellanos,Nueva Lehmann,--,,--,--,--,,--,--,--
,Castellanos,Plaza Clucellas,,,--,--,,,SI,--,--
SANTA FE,Castellanos,Plaza Saguier,,SI,--,--,,--,--,--,
SANTA FE,,,--,SI,,,SI,--,,SI,--
SANTA FE,Castellanos,,--,--,--,,--,--,--,,--
SANTA FE,Castellanos,Rafaela,,SI,--,SI,,SI,SI,SI,
,Castellanos,Ramona,SI,,--,--,SI,,SI,SI,--
SANTA FE,Castellanos,San Antonio,,SI,--,--,,,--,SI,--
,Castellanos,San Vicente,SI,,--,--,SI,,SI,,--
SANTA FE,Castellanos,,SI,SI,,,SI,--,SI,SI,--
SANTA FE,,Sunchales,SI,SI,,SI,SI,SI,,SI,
SANTA FE,,,--,--,,,SI,SI,,,--
SANTA FE,Castellanos,,SI,--,--,,SI,SI,SI,--,--
,Castellanos,Vila,,,--,--,,,SI,--,
SANTA FE,Castellanos,Villa Josefina,,--,--,--,,--,--,--,--
SANTA FE,Castellanos,,--,SI,--,,--,--,SI,,--
SANTA FE,,,--,--,,--,--,--,,,--
,Castellanos,Zenón Pereyra,--,,--,--,SI,,--,--,
SANTA FE,Constitución,Alcorta,,,--,SI,,SI,SI,SI,
SANTA FE,,Barrio Arroyo del Medio,--,--,,--,--,--,,,--
SANTA FE,Constitución,,--,--,--,,SI,SI,,,--
SANTA FE,Constitución,,SI,SI,--,,SI,SI,SI,--,
SANTA FE,,,--,--,,,SI,--,,--,
SANTA FE,Constitución,Cepeda,,--,--,--,,--,--,,--
,Constitución,Empalme Villa Constitución,,,--,--,,,SI,--,--
SANTA FE,,Firmat,--,--,,--,--,--,,--,--
SANTA FE,Constitución,,SI,--,--,,SI,--,--,SI,
SANTA FE,,,--,--,,,SI,SI,,SI,--
SANTA FE,,Juan B. Molina,SI,--,,--,SI,SI,,,--
,Constitución,Juncal,,,--,SI,,,SI,SI,
,Constitución,La Vanguardia,--,,--,SI,--,,SI,--,
,Constitución,Máximo Paz (Est. Paz),,,--,--,,,SI,,--
SANTA FE,Constitución,Pavón,,--,--,--,,SI,SI,,--
SANTA FE,,Pavón Arriba,--,--,,SI,SI,SI,,SI,
SANTA FE,Constitución,,--,SI,--,,SI,--,SI,--,
SANTA FE,Constitución,Rueda,,--,--,--,,--,SI,SI,--
,Constitución,Santa Teresa,,,--,SI,,,SI,,--
SANTA FE,,Sargento Cabral,--,--,,SI,SI,--,,SI,--
SANTA FE,,,--,--,,,SI,--,,--,
,Constitución,Theobald,--,,--,--,SI,,SI,--,--
,Constitución,Villa Constitución,,,--,SI,,,SI,,--
SANTA FE,Garay,Cayastá,,--,--,--,,SI,SI,SI,
,Garay,Helvecia,--,,--,--,SI,,SI,SI,--
SANTA FE,Garay,,--,SI,--,,SI,--,SI,,--
SANTA FE,,,--,--,,,SI,--,,SI,SI
,Garay,Santa Rosa de Calchines,,,--,--,,,SI,--,--
SANTA FE,General López,Aarón Castellanos (Est. Castellanos),,--,--,--,,--,SI,SI,
,General López,Amenábar,SI,,--,--,SI,,SI,,--
SANTA FE,General López,Cafferata,,--,--,SI,,SI,--,--,--
SAN JUAN,,,--,--,,SI,SI,SI,,SI,
SAN JUAN,Jáchal,,--,--,--,,--,--,SI,SI,--
SAN JUAN,,,--,--,,,--,--,,SI,--
SAN JUAN,,Villa Mercedes,--,--,,--,SI,--,,,SI
,Pocito,Barrio Municipal,,,--,--,,,--,--,--
,Pocito,Barrio Ruta 40,--,,--,--,SI,,--,SI,
SAN JUAN,,Carpintería,--,--,,--,SI,--,,,--
SAN JUAN,Pocito,,--,--,,,SI,SI,--,,--
SAN JUAN,Pocito,Las Piedritas,,--,--,--,,--,--,--,
,Pocito,Quinto Cuartel,,,--,--,SI,,SI,SI,
SAN JUAN,Pocito,,--,--,--,,SI,SI,--,,--
SAN JUAN,,Villa Aberastain - La Rinconada,SI,--,,--,--,--,,,SI
SAN JUAN,,Villa Barbosa - Villa Nacusi,--,--,,--,SI,SI,,SI,--
SAN JUAN,,,--,--,,,SI,SI,,--,
,Pocito,Villa Centenario,--,,--,--,SI,,--,,--
,Pocito,Villa Nacusi,,,--,--,,,--,,--
SAN JUAN,Rawson,,--,--,--,,--,SI,,SI,
SANTA FE,,Cañada del Ucle,SI,--,,--,--,--,,SI,--
SANTA FE,,Carmen,--,--,,--,SI,SI,,,--
SANTA FE,General López,,--,SI,--,,SI,SI,SI,,--
,General López,Chapuy,,,--,--,,,SI,--,
SANTA FE,General López,Chovet,,SI,--,--,,SI,SI,--,
,General López,Christophersen,,,--,SI,,,SI,,--
,General López,Diego de Alvear,SI,,--,SI,SI,,SI,,--
SANTA FE,,,SI,--,,,SI,SI,,--,--
SANTA FE,,Firmat,SI,SI,,SI,SI,SI,,--,
,General López,Hughes,--,,--,SI,SI,,SI,,--
,General López,La Chispa,,,--,--,,--,SI,SI,--
SANTA FE,General López,,SI,--,--,,SI,--,SI,--,
SALTA,,,--,--,,SI,SI,SI,,SI,SI
SALTA,La Candelaria,La Candelaria,,--,--,SI,,--,SI,,--
,La Poma,Cobres,--,,--,--,--,,--,--,--
,La Poma,La Poma,--,,--,SI,--,,--,SI,--
,La Viña,Ampascachi,,,--,--,,,--,SI,
SALTA,,Cabra Corral,--,--,,--,SI,--,,SI,--
SALTA,,,SI,--,,,SI,SI,,,SI
SALTA,La Viña,La Viña,,--,--,SI,,,SI,SI,
,La Viña,Talapampa,--,,--,--,--,,--,SI,
,Los Andes,Olacapato,,,--,SI,,,--,,SI
SALTA,Los Andes,San Antonio de los Cobres,,--,--,SI,,--,SI,SI,SI
SALTA,,,--,--,,,--,--,,SI,
SALTA,Los Andes,,--,--,--,,SI,--,--,SI,SI
SALTA,,,SI,--,--,,SI,SI,SI,--,SI
SALTA,,El Tunal,--,--,,SI,SI,--,,,SI
SALTA,Metán,Lumbreras,,--,--,SI,,--,--,--,--
,Grl. José de San Martín,Padre Lozano,--,,--,--,SI,,--,--,
SALTA,,Piquirenda,--,--,,SI,--,--,,,--
SALTA,,,SI,--,,,SI,SI,,--,SI
SALTA,Grl. José de San Martín,Recaredo,,--,--,--,,--,--,--,
,Grl. José de San Martín,Tartagal,,,--,SI,,,SI,SI,SI
SALTA,Grl. José de San Martín,,--,--,--,,--,--,--,,--
SALTA,,,--,--,,,--,--,,,--
SALTA,,Yacuy,--,--,,SI,SI,--,,--,
SALTA,Guachipas,,--,--,--,,SI,--,SI,SI,
,Iruya,Iruya,--,,--,SI,--,,--,,--
,Iruya,Isla de Cañas,,--,--,--,,--,--,,--
SALTA,,,--,--,,,--,--,,--,
SALTA,,La Caldera,--,--,,SI,SI,SI,,SI,SI
SALTA,La Caldera,,SI,--,--,,SI,SI,SI,,--
SALTA,,,--,--,,,SI,--,,,SI
SALTA,Metán,Metán Viejo,,--,--,SI,,--,--,--,
,Metán,Presa El Tunal,,,--,--,,,--,--,
,Metán,Río Piedras,SI,,--,SI,SI,,SI,,SI
SALTA,Metán,San José de Metán,,,--,SI,,SI,SI,,SI
SALTA,,San José de Orquera,--,--,,SI,--,--,,--,
SALTA,Molinos,,--,--,--,,--,--,,--,--
,Molinos,Molinos,,,--,SI,,,SI,SI,--
,Molinos,Seclantás,--,,--,SI,SI,,SI,,SI
SALTA,,,--,--,,,SI,--,,SI,SI
SALTA,Orán,,--,SI,--,,SI,SI,SI,SI,
,Orán,El Tabacal,,,--,SI,,,SI,--,--
SALTA,Orán,Hipólito Yrigoyen,,SI,--,SI,,SI,SI,,SI
SALTA,Orán,La Misión,,--,--,--,,,--,--,
,Orán,Pichanal,SI,,--,SI,SI,,SI,--,SI
SANTA FE,General López,,SI,--,,,SI,SI,SI,,--
SANTA FE,,María Teresa,SI,SI,,--,SI,SI,,SI,--
,General López,Melincué (Est. San Urbano),--,,--,--,SI,,SI,SI,
,General López,Miguel Torres,,,--,--,,,--,--,
SANTA FE,General López,Murphy,,--,--,SI,,SI,SI,--,--
,General López,Rufino,SI,,--,SI,SI,,SI,,--
SANTA FE,General López,,SI,--,--,,SI,--,SI,--,--
SANTA FE,,,--,--,,,SI,--,,--,
SANTA FE,,San Gregorio,SI,--,,SI,SI,SI,,,--
SANTA FE,,,SI,--,,,SI,SI,,SI,SI
,Sarmiento,Cienaguita,--,,--,SI,--,,--,SI,
,Sarmiento,Colonia Fiscal,,,--,--,,,--,--,--
SAN JUAN,,,--,--,,,SI,--,SI,SI,--
SAN JUAN,,Guanacache,--,--,,--,SI,--,,,--
,Sarmiento,Las Lagunas,--,,--,--,,,--,--,SI
SAN JUAN,Sarmiento,Los Berros,,--,--,SI,,SI,SI,SI,
SAN JUAN,,Pedernal,--,--,,--,SI,--,,,--
SAN JUAN,Sarmiento,,--,--,--,,SI,--,SI,,--
SAN JUAN,,,--,--,,,SI,SI,,SI,
SAN JUAN,,Villa Ibáñez,--,--,,--,SI,SI,,SI,
,Valle Fértil,Astica,,,--,--,,,SI,,--
,Valle Fértil,Balde del Rosario,--,,--,--,--,,SI,,--
SAN JUAN,,Chucuma,--,--,,--,--,SI,,--,--
SAN JUAN,Valle Fértil,,--,--,--,,SI,SI,,--,
SAN JUAN,,Usno,--,--,,--,--,--,,,--
SAN JUAN,,,--,--,,,SI,--,,,SI
,Zonda,Villa Basilio Nievas,--,,--,--,SI,,SI,SI,
,Ayacucho,Balde De Los Torres,,,--,--,,,--,--,--
SAN LUIS,Ayacucho,Balde Del Carmen,,--,--,--,,--,--,--,--
,Ayacucho,Balde Retamo,,,--,--,--,,--,,--
SAN LUIS,Ayacucho,,--,--,--,,--,--,--,--,
SAN LUIS,,Candelaria,--,--,,--,SI,--,,SI,
,Ayacucho,Carpinteria,,,--,--,,,--,,--
SAN LUIS,Ayacucho,El Calden,,--,--,--,,--,--,--,--
SAN LUIS,,,--,--,,,--,--,,--,
SAN LUIS,,El Rincon,--,--,,--,--,--,,--,--
,Ayacucho,El Vinagrillo,,,--,--,,,--,,--
,Ayacucho,El Zapallar,--,,--,--,--,,--,--,--
,Ayacucho,La Aguada,--,,--,--,--,,--,--,--
SAN LUIS,Ayacucho,La Avenencia,,--,--,--,,--,--,--,
SAN LUIS,,,--,--,,--,--,--,,--,--
SAN LUIS,Ayacucho,,--,--,--,,--,--,--,,--
SAN LUIS,Ayacucho,La Majada,,--,--,--,,--,--,SI,
,Ayacucho,La Represita,,,--,--,,,--,--,
SAN LUIS,Ayacucho,La Salvadora,,--,--,--,,--,--,--,--
,Ayacucho,Las Chacras,--,,--,--,--,,--,,--
SAN LUIS,Ayacucho,,--,--,--,,--,--,--,--,
SAN LUIS,,Las Lagunitas,--,--,,,--,--,,--,
SAN LUIS,,Leandro N. Alem,--,--,,--,--,--,,,--
SAN LUIS,,,--,--,,,--,--,,,--
,Ayacucho,Los Quemados,--,,--,--,--,,--,--,
,Ayacucho,Luján,,,--,--,,,SI,SI,
SAN LUIS,,,--,--,--,,--,--,--,--,--
SAN LUIS,,Pozo Del Molle,--,--,,--,--,--,,,--
,Ayacucho,Quines,--,,--,--,,,--,SI,SI
SAN LUIS,Ayacucho,Río Juan Gómez,,--,--,--,,--,--,SI,
SAN LUIS,,Rodeo De Cadenas,--,--,,--,--,--,,--,--
SAN LUIS,Belgrano,,--,--,--,,--,--,--,,--
SAN LUIS,,,--,--,,,--,--,,SI,
SAN LUIS,,Balcarce,--,--,,--,--,--,,--,--
,Chacabuco,Colonia Zubelzu,,,--,--,,,--,,--
,Chacabuco,Concarán,--,,--,--,SI,,--,SI,SI
SAN LUIS,,Cortaderas,--,--,,SI,SI,SI,,SI,--
SAN LUIS,Chacabuco,,--,--,--,,--,--,--,--,
SAN LUIS,Chacabuco,,--,--,--,,--,--,--,--,--
SAN LUIS,,,--,--,,,--,--,,,--
SAN LUIS,Chacabuco,El Sauce,,--,--,--,,--,--,--,--
,Chacabuco,El Sifon,,,--,--,,,--,--,
,Chacabuco,El Tala,--,,--,--,--,,--,,--
SAN LUIS,Chacabuco,La Celestina,,,--,--,,--,--,--,--
SAN LUIS,,Las Rosas,--,--,,--,--,--,,--,
SAN LUIS,Chacabuco,,--,--,--,,SI,--,,SI,--
,Chacabuco,Papagayos,,,--,--,,,--,,--
,Chacabuco,Pozo Cavado,--,,--,--,--,,--,,--
SAN LUIS,,,--,--,,,--,--,,--,
SAN LUIS,Chacabuco,,--,--,--,,--,--,--,SI,
,Chacabuco,San Felipe,,,--,--,,,--,,--
SAN LUIS,Chacabuco,San Miguel,,--,--,--,,--,--,,--
SAN LUIS,Chacabuco,San Pablo,,--,--,--,,,--,SI,
,Chacabuco,Santa Martina,--,,--,--,--,,--,--,
SAN LUIS,,,--,--,,,SI,SI,--,,--
SAN LUIS,,Villa del Carmen,--,--,,--,SI,--,,SI,--
,Ayacucho,San Francisco del Monte de Oro,--,,--,--,SI,,--,SI,--
,Ayacucho,San Ignacio,,,--,--,,,--,--,
,Ayacucho,San Miguel,,,--,--,,,--,,SI
SAN LUIS,Ayacucho,San Roque,,--,--,--,,--,--,--,--
SAN LUIS,,,--,--,,,--,--,,--,
SAN LUIS,Ayacucho,,--,--,--,,--,--,--,--,
SAN LUIS,,,--,--,--,,--,--,--,,--
SAN LUIS,,Santo Domingo,--,--,,--,--,--,,,--
SAN LUIS,Ayacucho,Talita,,--,--,--,,,--,--,
,Belgrano,Arbol Solo,--,,--,--,--,,--,--,
SAN LUIS,,Bella Estancia,--,--,,--,--,--,,,--
SAN LUIS,,,--,--,,,--,--,,--,--
SAN LUIS,Belgrano,El Barrial,,--,--,--,,--,--,--,
,Belgrano,El Milagro,,,--,--,,,--,--,--
SAN LUIS,Belgrano,,--,--,--,,--,--,--,,--
SAN LUIS,,,--,--,,,--,--,,--,--
SAN LUIS,,Hualtaran,--,--,,--,--,--,,--,--
SAN LUIS,Belgrano,,--,--,--,,--,--,SI,SI,
,Belgrano,Las Lagunitas,--,,--,--,--,,--,--,--
,Belgrano,Los Molles,,,--,--,,--,--,,--
SAN LUIS,,,--,--,,,--,--,,--,
SAN LUIS,,Naranjo Esquino,--,--,,--,--,--,,--,--
SAN LUIS,,Nogolí,--,--,,SI,--,--,,,--
SAN LUIS,Belgrano,,--,--,--,,--,--,--,--,--
,Belgrano,Pozo Del Tala,,,--,--,--,,--,--,
SAN LUIS,Belgrano,Represa Del Carmen,,--,--,--,,--,--,--,--
,Belgrano,San Antonio,,,--,--,,,--,--,--
,Belgrano,San Pedro,--,,--,--,--,,--,,--
SAN LUIS,,,--,--,,,--,--,,--,--
